Ward,Searches,Searches which got estimate,Searches for Quotes,Searches which got Quotes,Bookings,Completed Trips,Search-to-estimate Rate,Estimate-to-search for quotes Rate,Quote Acceptance Rate,Quote-to-booking Rate,Cancelled Bookings,Booking Cancellation Rate,Conversion Rate,Drivers' Earnings,Average Distance per Trip (km),Average Fare per Trip,Distance Travelled (km),Latitude,Longitude
Manorayanapalya,"1,38,726","1,37,934","1,05,934","67,224","65,761","42,741",99.40%,76.80%,63.50%,97.80%,"23,005",35.00%,30.80%,"₹57,69,512",7.13,₹128.85,"3,26,215",13.031936649999999,77.60438186396622
Srinagar,"1,00,697","99,704","70,561","59,450","58,086","41,921",99.00%,70.80%,84.30%,97.70%,"16,144",27.80%,41.60%,"₹50,44,899",6.68,₹118.81,"2,89,196",12.9438817,77.5541768
Kengeri,"1,08,258","1,07,446","68,375","57,488","56,271","39,618",99.30%,63.60%,84.10%,97.90%,"16,645",29.60%,36.60%,"₹61,05,084",8.4,₹144.76,"3,62,715",12.9176571,77.4837568
Marappana Palya,"1,18,135","1,17,071","75,583","62,138","60,885","39,411",99.10%,64.60%,82.20%,98.00%,"21,463",35.30%,33.40%,"₹50,33,661",6.87,₹122.99,"2,87,228",,
Hampi Nagar,"95,276","94,422","65,398","57,118","55,601","39,198",99.10%,69.30%,87.30%,97.30%,"16,380",29.50%,41.10%,"₹49,96,931",6.72,₹120.11,"2,87,236",12.9609115,77.5358407
Ullal,"99,172","98,336","64,672","56,247","54,815","39,147",99.20%,65.80%,87.00%,97.50%,"15,658",28.60%,39.50%,"₹61,39,405",9.6,₹162.23,"3,67,154",12.951276107803738,77.49324187693902
Naganathapura,"1,71,381","1,69,665","1,31,681","66,576","65,568","38,620",99.00%,77.60%,50.60%,98.50%,"26,938",41.10%,22.50%,"₹74,16,872",10.4,₹179.22,"4,36,687",12.87179515,77.66559333834337
Kamakya Nagar,"1,09,692","1,08,757","82,046","58,708","57,518","38,541",99.20%,75.40%,71.50%,98.00%,"18,968",33.00%,35.10%,"₹47,04,595",6.01,₹109.83,"2,65,949",12.925283757674162,77.55012037117882
Mangammanapalya,"1,54,378","1,52,837","1,22,653","67,435","66,180","38,343",99.00%,80.30%,55.00%,98.10%,"27,818",42.00%,24.80%,"₹57,73,897",7.84,₹140.92,"3,25,690",12.8998659,77.63930687593918
Doddagollarahatti,"98,783","97,839","61,840","54,233","53,145","38,065",99.00%,63.20%,87.70%,98.00%,"15,069",28.30%,38.50%,"₹61,48,958",9,₹151.89,"3,69,997",,
T Dasarahalli,"1,16,879","1,16,132","81,881","62,233","61,128","37,945",99.40%,70.50%,76.00%,98.20%,"23,152",37.90%,32.50%,"₹44,28,407",6.41,₹115.27,"2,48,636",13.0457517,77.51404300816833
Vidyapeeta ward,"98,218","97,305","72,769","57,004","55,960","37,832",99.10%,74.80%,78.30%,98.20%,"18,111",32.40%,38.50%,"₹44,05,252",6.19,₹112.18,"2,47,727",12.934034700000002,77.56594155582614
Chamundi Nagara,"1,09,038","1,08,468","82,395","56,986","56,063","37,616",99.50%,76.00%,69.20%,98.40%,"18,434",32.90%,34.50%,"₹46,34,638",5.79,₹108.06,"2,58,432",13.02521195,77.59646995353445
Atturu Layout,"1,06,263","1,05,338","71,258","55,686","54,548","37,150",99.10%,67.60%,78.10%,98.00%,"17,385",31.90%,35.00%,"₹62,54,460",9,₹169.54,"3,72,076",13.0977865,77.5677646
J P Park,"1,07,208","1,06,388","77,661","55,905","54,791","37,081",99.20%,73.00%,72.00%,98.00%,"17,699",32.30%,34.60%,"₹49,36,530",6.65,₹119.43,"2,84,992",,
Nagarabhavi,"87,574","86,839","60,510","52,907","51,678","36,747",99.20%,69.70%,87.40%,97.70%,"14,920",28.90%,42.00%,"₹50,50,626",7.73,₹134.74,"2,95,639",12.9664182,77.5130777
Marenahalli,"83,523","82,785","56,507","51,111","49,970","36,141",99.10%,68.30%,90.50%,97.80%,"13,815",27.70%,43.30%,"₹43,40,983",7.04,₹124.10,"2,48,263",12.9687739,77.5306387
Dr. Raj Kumar Ward,"89,477","88,660","61,954","52,508","51,412","35,829",99.10%,69.90%,84.80%,97.90%,"15,561",30.30%,40.00%,"₹45,10,924",7.15,₹126.07,"2,57,641",,
